brand,model,parameter,value,unit,source_column,source
Samick,SG-172,Друк черных клавиш,10,мм,14c,Forss 2009
Samick,G-3A,Друк черных клавиш,10,мм,14d,Forss 2009
Samick,SG-185,Друк черных клавиш,10,мм,14e,Forss 2009
Samick,SG-205,Друк черных клавиш,10,мм,14f,Forss 2009
Samick,SG-225,Друк черных клавиш,10,мм,14g,Forss 2009
Samick,SG-275,Друк черных клавиш,10,мм,14h,Forss 2009
Samick,SG-140A,Расстояние между осями фигур и молотков,115,мм,14a,Forss 2009
Samick,SG-155,Расстояние между осями фигур и молотков,115,мм,14b,Forss 2009
Samick,SG-172,Расстояние между осями фигур и молотков,115,мм,14c,Forss 2009
Samick,G-3A,Расстояние между осями фигур и молотков,115,мм,14d,Forss 2009
Samick,SG-185,Расстояние между осями фигур и молотков,115,мм,14e,Forss 2009
Samick,SG-205,Расстояние между осями фигур и молотков,115,мм,14f,Forss 2009
Samick,SG-225,Расстояние между осями фигур и молотков,115,мм,14g,Forss 2009
Samick,SG-275,Расстояние между осями фигур и молотков,115,мм,14h,Forss 2009
Samick,SG-140A,Штейнунг,47,мм,14a,Forss 2009
Samick,SG-155,Штейнунг,47,мм,14b,Forss 2009
Samick,SG-172,Штейнунг,47,мм,14c,Forss 2009
Samick,G-3A,Штейнунг,47,мм,14d,Forss 2009
Samick,SG-185,Штейнунг,47,мм,14e,Forss 2009
Samick,SG-205,Штейнунг,47,мм,14f,Forss 2009
Samick,SG-225,Штейнунг,47,мм,14g,Forss 2009
Samick,SG-275,Штейнунг,47,мм,14h,Forss 2009
Samick,SG-140A,Расстояние ауслезунга в басах,3,мм,14a,Forss 2009
Samick,SG-155,Расстояние ауслезунга в басах,3,мм,14b,Forss 2009
Samick,SG-172,Расстояние ауслезунга в басах,3,мм,14c,Forss 2009
Samick,G-3A,Расстояние ауслезунга в басах,3,мм,14d,Forss 2009
Samick,SG-185,Расстояние ауслезунга в басах,3,мм,14e,Forss 2009
Samick,SG-205,Расстояние ауслезунга в басах,3,мм,14f,Forss 2009
Samick,SG-225,Расстояние ауслезунга в басах,3,мм,14g,Forss 2009
Samick,SG-275,Расстояние ауслезунга в басах,2,мм,14h,Forss 2009
Samick,SG-140A,Расстояние ауслезунга от струн в середине,2,мм,14a,Forss 2009
Samick,SG-155,Расстояние ауслезунга от струн в середине,2,мм,14b,Forss 2009
Samick,SG-172,Расстояние ауслезунга от струн в середине,2,мм,14c,Forss 2009
Samick,G-3A,Расстояние ауслезунга от струн в середине,2,мм,14d,Forss 2009
Samick,SG-185,Расстояние ауслезунга от струн в середине,2,мм,14e,Forss 2009
Samick,SG-205,Расстояние ауслезунга от струн в середине,2,мм,14f,Forss 2009
Samick,SG-225,Расстояние ауслезунга от струн в середине,2,мм,14g,Forss 2009
Samick,SG-275,Расстояние ауслезунга от струн в середине,1.5,мм,14h,Forss 2009
Samick,SG-140A,Расстояние ауслезунга от струн в дискантах,1.5,мм,14a,Forss 2009
Samick,SG-155,Расстояние ауслезунга от струн в дискантах,1.5,мм,14b,Forss 2009
Samick,SG-172,Расстояние ауслезунга от струн в дискантах,1.5,мм,14c,Forss 2009
Samick,G-3A,Расстояние ауслезунга от струн в дискантах,1.5,мм,14d,Forss 2009
Samick,SG-185,Расстояние ауслезунга от струн в дискантах,1.5,мм,14e,Forss 2009
Samick,SG-205,Расстояние ауслезунга от струн в дискантах,1.5,мм,14f,Forss 2009
Samick,SG-225,Расстояние ауслезунга от струн в дискантах,1.5,мм,14g,Forss 2009
Samick,SG-275,Расстояние ауслезунга от струн в дискантах,1.0,мм,14h,Forss 2009
Samick,SG-140A,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14a,Forss 2009
Samick,SG-155,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14b,Forss 2009
Samick,SG-172,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14c,Forss 2009
Samick,G-3A,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14d,Forss 2009
Samick,SG-185,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14e,Forss 2009
Samick,SG-205,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14f,Forss 2009
Samick,SG-225,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14g,Forss 2009
Samick,SG-275,Расстояние абника от уровня ауслезунга в басах,2-3,мм,14h,Forss 2009
Samick,SG-140A,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14a,Forss 2009
Samick,SG-155,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14b,Forss 2009
Samick,SG-172,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14c,Forss 2009
Samick,G-3A,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14d,Forss 2009
Samick,SG-185,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14e,Forss 2009
Samick,SG-205,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14f,Forss 2009
Samick,SG-225,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14g,Forss 2009
Samick,SG-275,Расстояние абника от уровня ауслезунга в середине,2-3,мм,14h,Forss 2009
Samick,SG-140A,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14a,Forss 2009
Samick,SG-155,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14b,Forss 2009
Samick,SG-172,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14c,Forss 2009
Samick,G-3A,Расстояние абника от уровня ауслезунга в дискантах,2-3,мм,14d,Forss 2009
